px0,py0,pz0,x0,y0,z0,px1,py1,pz1,x1,y1,z1
0,0,5979.09,-4249.36,1354.14,-14890.3,-47.5996,-24.5342,2363.44,-4355.2,1278.71,7500
0,0,5247.24,-674.827,200.145,-14911.2,94.1744,-53.3277,1746.84,-442.878,114.941,7500
0,0,4423.93,5694.98,-5357.01,-14888.3,35.7414,-18.4643,1106.93,5978.46,-5657.09,7500
0,0,2823.7,4558.87,-4962.15,-14964,-0,0,0,4544.54,-4957.37,3796.55
0,0,4256.11,449.399,-802.67,-14655,8.96089,-54.3936,636.605,640.732,-1354.55,7500
0,0,3332.69,-2643.27,-3483.48,-14831.1,-0,0,0,-1767.01,-3807.95,4403.07
0,0,1476.95,4903.55,-1616.73,-14876.1,0,0,0,4809.6,-1714.72,-640.317
0,0,1072.11,-3624.11,-2801.01,-14945.7,0,0,0,-3543.07,-2911.97,-1827.83
0,0,1497.54,696.17,-526.683,-14967.6,0,-0,0,523.958,-469.641,-515.58
0,0,3972.1,3723.16,1537.65,-14976.5,16.0708,-55.697,458.547,3937.6,1017.73,7500
0,0,3741.53,2064.05,4967.73,-14810.7,16.0561,63.1454,528.663,2429.34,5494.76,7500
0,0,4774.05,-5636.11,3614.66,-14991.4,-12.5907,-23.0244,1227.57,-5768.57,3452.1,7500
0,0,3068.67,118.929,-668.877,-14967.7,-0,0,0,365.891,-543.525,3823.97
0,0,3784.52,-1441.72,3561.9,-14914.4,-33.1091,-7.11168,458.285,-1855.42,3291.03,7500
0,0,4203.76,2738.68,95.6497,-14981.2,77.706,-7.72292,787.015,3257.68,33.8174,7500
0,0,2263.13,5120.05,2356.64,-14965.6,-0,0,-0,5353.85,2386.76,1771.37
0,0,1784.51,-4031.78,-2009.66,-14936.5,-0,0,-0,-4125.04,-2215.53,694.836
0,0,1424.65,-4918.96,2777.79,-14989.4,-0,-0,0,-5084.46,2736.13,-788.166
0,0,1109.21,-3953.63,-4347.5,-14959.6,-0,-0,0,-3866.78,-4146.02,-1801.17
0,0,2077.41,1438.03,-4548.33,-14987.1,0,-0,0,1116.79,-4213.75,1340.32
0,0,2575.12,-5261.47,3194.29,-14981.7,-0,0,0,-4897.76,3571.28,2310.5
0,0,2736.15,1698.82,-3521.52,-14755.7,0,-0,0,1415.48,-3687.55,3680.65
0,0,4671.52,545.643,-1069.58,-14868.1,58.6106,72.4928,1287.05,718.161,-842.053,7500
0,0,1683.65,324.925,330.936,-14857.4,-0,0,0,343.537,337.175,107.472
0,0,3317.6,400.694,1304.62,-14991.3,0,-0,0,278.036,1508.21,4434.96
0,0,5801.41,-2980.82,2756.75,-14960.6,-80.901,-142.792,2317.83,-3231.55,2375.01,7500
0,0,5408.96,1166.95,5579.54,-14853.6,-28.3295,142.51,2045.2,1115.49,5928.56,7500
0,0,5560.3,1760.31,-3225.83,-14963.9,-105.47,60.408,2288.5,1537.07,-3232.13,7500
0,0,2098.75,-3360.65,1711.77,-14966.6,0,0,0,-3220.39,1709.84,1511.16
0,0,1868.06,-2363.71,-5164.75,-14821,0,-0,0,-2364.05,-5277.84,82.9914
0,0,4883.85,5284.9,3331.87,-14912.6,20.1737,62.5723,1342.61,5254.5,3539.07,7500
0,0,3749.36,-2629.11,-4061.51,-14914.1,-3.81197,71.5451,632.236,-2704.13,-3423.85,7500
0,0,2970.03,-83.5639,5426.67,-14902.6,0,-0,0,140.258,5273.39,4352.99
0,0,4451.33,3094.19,-5660.73,-14998.7,10.7745,106.436,1089.22,3236.57,-5159.79,7500
0,0,2190.08,4896.25,850.867,-14990.5,-0,-0,0,4604.33,1211.18,1355.09
0,0,2306.13,3899.88,3936.33,-14937.6,-0,-0,0,4017.85,3781.55,2234.75
0,0,1093.17,-4734.66,-1817.1,-14957.2,-0,-0,0,-4774.27,-1970.71,-1714.82
0,0,4981.64,3112.6,3700.62,-14895.5,-15.6182,147.101,1547.38,2975.62,4421.41,7500
0,0,3044.43,211.154,256.679,-14947.1,-0,0,0,43.9623,539.055,4089.4
0,0,2031.36,-4234.97,3086.18,-14978.7,0,0,0,-4036.27,2955.64,879.926
0,0,5369.67,2081.4,4362.06,-14901.3,-41.9609,9.46509,2033.02,1959.74,4351.17,7500
0,0,3814.65,1797.16,-5260.48,-14950.5,-61.3941,3.57031,153.49,258.123,-5283.4,7500
0,0,2425.43,4809.58,4834.29,-14854.2,-0,-0,0,4771.85,4647.76,2476.42
0,0,3042.88,138.826,4681.39,-14923.9,-0,-0,0,291.685,4794.02,4436.96
0,0,5768.6,-5219.12,4059.51,-14815.9,-97.4884,12.7047,2129.28,-5438.5,4015.99,7500
0,0,3804.21,5652.84,3698.88,-14825.6,19.7941,-68.4136,537.852,5977.79,3099.54,7500
0,0,4401.38,5546.2,-5058.28,-14961.4,16.8084,-0.961321,1144.42,5821.69,-4834.03,7500
0,0,1877.99,-1166.15,3659.16,-14991.5,-0,0,0,-1601.29,3536.91,431.708
0,0,1289.41,-4390.53,-838.715,-14813.7,0,-0,-0,-4331.58,-850.639,-1313.47
0,0,1329.16,3637.71,698.538,-14963.1,0,-0,0,3622.94,557.723,-992.495
0,0,1470.51,4310.28,1128.02,-14951,-0,-0,0,4624.35,1303.36,-551.608
0,0,4933.94,458.079,3220.89,-14949.4,-13.3575,-128.724,1605.96,394.569,2849.95,7500
0,0,5026.97,-514.548,-2827.44,-14797.5,-8.44432,-70.3838,1734.49,-764.8,-2931.75,7500
0,0,2812.14,3226.17,3634.2,-14963.4,-0,0,0,3601.13,3515.15,3147.89
0,0,1781.85,5055.16,4084.07,-14999,-0,0,0,5306.89,3704.03,479.649
0,0,3111.69,-5041.4,637.955,-14962.9,0,-0,0,-5144.24,379.716,4582.49
0,0,1235.4,-3645.95,-3587.23,-14849.9,-0,-0,0,-3630.51,-3709.08,-1423.95
0,0,3119.87,-2870.36,-1950.37,-14936.3,-0,-0,0,-2904.13,-2068.87,4151.15
0,0,3852.97,3982.31,-3356.68,-14970.7,-47.0404,31.8155,654.208,3690.45,-3587.34,7500
0,0,3283.71,-1602.71,3417.68,-14271.2,0,-0,0,-1438.99,2946.15,4905.54
0,0,3484.65,-3580.8,3413.1,-14971.4,0,0,0,-3817.05,3374.36,4937.9
0,0,2150.4,5406.13,3640.35,-14960.3,0,0,0,5327.43,3508.07,1848.39
0,0,4690.61,-2867.31,5125.92,-14833.6,61.6799,-51.5745,1375.2,-2636.01,4844.84,7500
0,0,2045.02,4810.87,-164.329,-14971.9,-0,-0,0,4741.62,-529.952,1381.51
0,0,1318.28,-4642.52,-2780.66,-14945.7,-0,-0,0,-4689.36,-2771.22,-1117.16
0,0,4625.91,5043.05,-5567.11,-14905,-50.7049,46.5888,1349.88,4936.54,-5528.95,7500
0,0,3940.63,-1677.78,-726.216,-14636.6,23.5074,-18.8434,732.851,-1583.47,-896.022,7500
0,0,1499.98,-2504.72,3158.16,-14975.2,-0,-0,0,-2784.4,3274.44,-192.487
0,0,1984.43,-4988.71,3575.97,-14530.9,-0,0,0,-4990.79,3249.31,1248.37
0,0,2643.91,2279.3,-3568.15,-14825.4,-0,0,0,2428.6,-3741.09,2760.01
